locus_tag	Control1	Control2	Control3	Treatment1	Treatment2	Treatment3
gene0410	1	5	3	10	15	13
gene0411	5	26	15	29	47	68
gene0412	3	2	4	6	13	10
gene0413	21	28	37	59	69	116
gene0414	0	5	3	12	6	3
gene0415	2	3	2	5	2	5
gene0416	0	2	1	1	4	2
gene0417	0	0	1	0	1	2
gene0418	0	4	3	7	3	8
gene0419	5	4	3	12	13	10
gene0420	4	5	7	9	23	27
gene0421	8	18	11	25	31	52
gene0422	6	7	6	9	13	10
gene0423	17	40	45	30	27	81
gene0424	6	5	11	11	17	30
gene0425	19	42	23	25	42	43
gene0426	51	87	83	65	104	133
gene0427	20	30	38	37	41	80
gene0428	10	27	19	29	40	58
gene0429	5	11	18	16	25	34
gene0430	4	8	2	9	11	13
gene0431	4	7	8	8	12	10
gene0432	33	64	55	52	90	90
gene0433	1	0	0	0	1	3
gene0434	4	4	3	5	1	10
gene0435	0	0	0	3	2	0
gene0436	0	2	1	7	6	7
gene0437	4	11	4	12	3	13
gene0438	4	6	10	4	7	10
gene0439	2	4	1	1	1	8
gene0440	1	3	2	2	1	4
gene0441	3	0	2	3	0	7
gene0442	0	0	0	0	0	0
gene0443	0	0	0	1	2	3
gene0444	4	5	4	2	3	11
gene0445	0	0	0	0	1	0
gene0446	12	5	5	10	6	18
gene0447	10	16	15	13	9	14
gene0448	7	1	3	8	13	17
gene0449	7	11	11	10	8	15
gene0450	1	6	6	4	3	9
gene0451	3	2	4	2	0	6
gene0452	2	4	0	1	2	2
gene0453	2	0	2	3	0	4
gene0454	5	3	1	8	13	12
gene0455	4	3	3	10	1	13
gene0456	84	103	141	527	996	943
gene0457	2	3	3	4	4	2
gene0457.1	0	0	1	0	2	2
gene0458	3	8	2	2	3	7
gene0459	7	19	14	13	5	27
gene0460	8	29	11	18	5	33
gene0461	3	22	23	10	24	29
gene0462	5	21	12	26	13	38
gene0463	1	1	4	11	9	7
gene0464	3	4	4	8	13	20
gene0465	4	5	5	2	3	6
gene0466	0	0	1	0	0	0
gene0467	1	2	1	4	3	8
gene0468	5	7	6	4	4	15
gene0469	8	13	11	9	9	20
gene0470	6	12	11	7	9	19
gene0471	3	4	1	3	5	7
gene0472	8	5	2	7	5	6
gene0473	3	1	3	4	2	4
gene0474	0	0	0	0	0	1
gene0475	1	1	2	1	1	0
gene0476	2	5	5	7	6	8
gene0477	3	1	1	1	0	1
gene0478	1	0	1	0	2	3
gene0479	0	0	0	3	0	1
gene0480	1	3	0	1	1	3
gene0481	0	1	1	2	4	5
gene0482	25	49	74	35	31	83
gene0483	0	2	2	1	1	3
gene0484	3	4	3	5	2	4
gene0485	1	5	3	6	6	9
gene0486	1	5	2	7	5	4
gene0487	0	1	2	3	5	6
gene0488	0	1	0	2	3	5
gene0489	0	2	1	4	0	6
gene0490	4	2	3	7	0	6
gene0491	0	0	2	1	4	3
gene0492	0	0	2	2	1	2
gene0493	0	1	0	1	0	2
gene0494	3	0	1	2	0	3
gene0495	1	3	2	1	2	4
gene0496	0	3	1	4	1	3
gene0497	2	1	1	5	0	5
gene0498	1	4	4	3	3	7
gene0499	0	2	1	6	1	4
gene0500	6	17	12	15	38	44
gene0501	0	2	4	8	6	17
gene0502	3	4	2	5	2	13
gene0503	0	2	1	3	4	3
gene0504	0	0	0	0	1	3
gene0505	4	13	12	10	10	18
gene0506	30	82	89	54	46	81
gene0507	2	7	3	2	2	3
gene0508	7	28	27	19	6	21
gene0509	2	2	1	0	4	6
gene0510	1	1	0	0	1	4
gene0511	4	1	1	1	2	5
gene0512	0	2	1	0	0	0
gene0513	0	0	1	2	0	0
gene0514	1	1	1	0	1	1
gene0515	0	0	0	0	0	1
gene0516	2	0	1	0	1	6
gene0517	0	0	0	0	1	1
gene0518	0	0	0	0	1	0
gene0519	1	8	3	5	3	8
gene0520	3	2	7	3	1	3
gene0521	0	0	0	0	0	0
